Eglinton Airport,에글린튼 공항,LDY,EGAE,유럽,Europe/London,United Kingdom,영국,Derry,55.0428009,-7.161109924
Birmingham International Airport,버밍햄 국제공항,BHX,EGBB,유럽,Europe/London,United Kingdom,영국,Birmingham,52.45389938,-1.748029947
Baginton Airport,배징턴 공항,CVT,EGBE,유럽,Europe/London,United Kingdom,영국,Coventry,52.36970139,-1.479719996
Gloucestershire Airport,글로스터셔 공항,GLO,EGBJ,유럽,Europe/London,United Kingdom,영국,Gloucester,51.89419937,-2.167220116
Manchester International Airport,맨체스터 국제공항,MAN,EGCC,유럽,Europe/London,United Kingdom,영국,Manchester,53.35369873,-2.274950027
RAF Saint Mawgan,세인트 마건 공군기지,NQY,EGHQ,유럽,Europe/London,United Kingdom,영국,Newquay,50.44060135,-4.995409966
Cardiff International Airport,카디프 국제공항,CWL,EGFF,유럽,Europe/London,United Kingdom,영국,Cardiff,51.39670181,-3.343329906
Fairwood Common Airport,페어우드 커몬 공항,SWS,EGFH,유럽,Europe/London,United Kingdom,영국,Swansea,51.6053009,-4.067830086
Bristol International Airport,브리스틀 국제공항,BRS,EGGD,유럽,Europe/London,United Kingdom,영국,Bristol,51.382702,-2.71909
John Lennon Airport,존 레논 공항,LPL,EGGP,유럽,Europe/London,United Kingdom,영국,Liverpool,53.33359909,-2.849720001
Luton Airport,루톤 공항,LTN,EGGW,유럽,Europe/London,United Kingdom,영국,London,51.87469864,-0.3683330119
Bournemouth International Airport,본머스 국제공항,BOH,EGHH,유럽,Europe/London,United Kingdom,영국,Bournemouth,50.77999878,-1.842499971
Southampton International Airport,사우샘프턴 국제공항,SOU,EGHI,유럽,Europe/London,United Kingdom,영국,Southampton,50.95029831,-1.35679996
The Blaye Airport,더 블라예 공항,ACI,EGJA,유럽,Europe/Guernsey,United Kingdom,영국,Alderney,49.706104,-2.21472
Guernsey Airport,건지 공항,GCI,EGJB,유럽,Europe/Guernsey,United Kingdom,영국,Guernsey,49.43500137,-2.601969957
Jersey States Airport,저지 스테이츠 공항,JER,EGJJ,유럽,Europe/Jersey,United Kingdom,영국,Jersey,49.207901,-2.195509911
Shoreham Airport,쇼햄 공항,ESH,EGKA,유럽,Europe/London,United Kingdom,영국,Brighton,50.835602,-0.297222
Biggin Hill Airport,비긴 힐 공항,BQH,EGKB,유럽,Europe/London,United Kingdom,영국,London,51.3307991,0.03249999881
Gatwick Airport,개트윅 공항,LGW,EGKK,유럽,Europe/London,United Kingdom,영국,London,51.148102,-0.190278
London City Airport,런던 시티 공항,LCY,EGLC,유럽,Europe/London,United Kingdom,영국,London,51.505299,0.055278
Heathrow Airport,히드로우 공항,LHR,EGLL,유럽,Europe/London,United Kingdom,영국,London,51.4706,-0.461941
Southend Airport,사우스엔드 시공항,SEN,EGMC,유럽,Europe/London,United Kingdom,영국,Southend,51.57139969,0.695555985
Lydd International Airport,리드 국제공항,LYX,EGMD,유럽,Europe/London,United Kingdom,영국,Lydd,50.95610046,0.9391670227
Carlisle Airport,칼라일 공항,CAX,EGNC,유럽,Europe/London,United Kingdom,영국,Carlisle,54.9375,-2.809170008
Blackpool Airport,블랙풀 공항,BLK,EGNH,유럽,Europe/London,United Kingdom,영국,Blackpool,53.77170181,-3.028609991
Humberside Airport,험버사이드 공항,HUY,EGNJ,유럽,Europe/London,United Kingdom,영국,Humberside,53.57440186,-0.3508329988
Leeds Bradford International Airport,리즈 브랫포드 국제공항,LBA,EGNM,유럽,Europe/London,United Kingdom,영국,Leeds,53.86589813,-1.660570025
Hawarden Airport,후워든 공항,CEG,EGNR,유럽,Europe/London,United Kingdom,영국,Hawarden,53.17810059,-2.977780104
Ronaldsway Airport,로널즈웨이 공항,IOM,EGNS,유럽,Europe/Isle_of_Man,United Kingdom,영국,Isle Of Man,54.08330154,-4.623889923
Newcastle International Airport,뉴캐슬 국제공항,NCL,EGNT,유럽,Europe/London,United Kingdom,영국,Newcastle,55.03749847,-1.691669941
Durham Tees Valley Airport,더햄티즈 공항,MME,EGNV,유럽,Europe/London,United Kingdom,영국,Teeside,54.50920105,-1.429409981
Nottingham East Midlands Airport,노팅엄 이스트 미들랜 공항,EMA,EGNX,유럽,Europe/London,United Kingdom,영국,East Midlands,52.83110046,-1.328060031
Kirkwall Airport,커크월 공항,KOI,EGPA,유럽,Europe/London,United Kingdom,영국,Kirkwall,58.95780182,-2.904999971
Sumburgh Airport,섬버그 공항,LSI,EGPB,유럽,Europe/London,United Kingdom,영국,Sumburgh,59.87889862,-1.295560002
Wick John OGroats Airport,윅 존 오그로츠 공항,WIC,EGPC,유럽,Europe/London,United Kingdom,영국,Wick,58.45890045,-3.093060017
Dyce Airport,다이스 공항,ABZ,EGPD,유럽,Europe/London,United Kingdom,영국,Aberdeen,57.20190048,-2.197779894
Inverness Airport,인버니스 공항,INV,EGPE,유럽,Europe/London,United Kingdom,영국,Inverness,57.54249954,-4.047500134
Glasgow International Airport,글래스고 국제공항,GLA,EGPF,유럽,Europe/London,United Kingdom,영국,Glasgow,55.87189865,-4.433060169
Edinburgh Airport,에든버러 공항,EDI,EGPH,유럽,Europe/London,United Kingdom,영국,Edinburgh,55.95000076,-3.372499943
Glenegedale Airport,글리니지데일 공항,ILY,EGPI,유럽,Europe/London,United Kingdom,영국,Islay,55.68190002,-6.256669998
Prestwick Airport,프레스트윅 공항,PIK,EGPK,유럽,Europe/London,United Kingdom,영국,Prestwick,55.50939941,-4.586669922
Benbecula Airport,벤베쿠라 공항,BEB,EGPL,유럽,Europe/London,United Kingdom,영국,Benbecula,57.48109818,-7.362780094
Scatsta Airport,스캐스타 공항,SCS,EGPM,유럽,Europe/London,United Kingdom,영국,Scatsta,60.43280029,-1.296110034
Dundee Airport,던디 공항,DND,EGPN,유럽,Europe/London,United Kingdom,영국,Dundee,56.45249939,-3.02583003
Stornoway Airport,스토노와 공항,SYY,EGPO,유럽,Europe/London,United Kingdom,영국,Stornoway,58.21559906,-6.331110001
Tiree Airport,타이리 공항,TRE,EGPU,유럽,Europe/London,United Kingdom,영국,Tiree,56.49919891,-6.869170189
